X,Y,OBJECTID,STNCODE,STNNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,STNTYPE,STFIPS
-78.779678000639194,35.787708000224086,59,CYN,"Cary, North Carolina",211 North Academy Street,,Cary,NC,27511,RAIL,37
-96.807404000394286,32.775542999210074,60,DAL,"Dallas, Texas",400 South Houston St.,Union Station,Dallas,TX,75202-4840,RAIL,48
-69.530896926052264,44.032348698833459,61,DAM,"Damariscotta, Maine",167 Main St.,Waltz Pharmacy,Damariscotta,ME,04543-4649,BUS,23
-79.384315000137121,36.583697999862864,62,DAN,"Danville, Virginia",677 Craghead St.,,Danville,VA,24541-1503,RAIL,51
-121.737068000188003,38.544113000514642,63,DAV,"Davis, California",840 Second Street,Amtrak Passenger Station,Davis,CA,95616-4624,RAIL,06
-121.897898764616286,37.69920121616326,64,DBP,"Dublin-Pleasanton, California",5801 Owens Drive,"BART Station, north side, East curb near par. str.",Pleasanton,CA,94588-3900,BUS,06
-82.184821999935309,28.364188999722614,65,DDE,"Dade City, Florida",14218 US Highway 98,Hwy98/301 Truck Route,Dade City,FL,33525,OTHER,12
-100.016578999820922,37.752597999498107,66,DDG,"Dodge City, Kansas",Central Ave & Wyatt Earp St.,,Dodge City,KS,67801,RAIL,20
-104.991777710373015,39.750459749417928,67,DEB,"Denver (Bus Station), Colorado",1055 19th Street,Greyhound Station,Denver,CO,80202,BUS,08
-107.760833999989075,32.27108400052623,68,DEM,"Deming, New Mexico",400 East Railroad Avenue,,Deming,NM,88030,RAIL,35
-104.999611000547191,39.753223000041487,69,DEN,"Denver, Colorado",1701 Wynkoop Street,Union Station,Denver,CO,80202,RAIL,08
-83.201180000456645,42.313049000211265,70,DER,"Dearborn, Michigan",16121 Michigan Ave.,,Dearborn,MI,48126,RAIL,26
-83.072098000422329,42.367881999954363,71,DET,"Detroit, Michigan",11 West Baltimore Ave.,,Detroit,MI,48202,RAIL,26
-80.121460000278773,26.317794999239879,72,DFB,"Deerfield Beach, Florida",1300 W. Hillsboro Blvd,,Deerfield Beach,FL,33442,RAIL,12
-105.379646615998467,42.748523634358264,73,DGS,"Douglas, Wyoming",628 East Richards St.,Plains Motel & Gift Shop,Douglas,WY,82633-2834,BUS,56
-70.935829444772992,43.138976239162162,74,DHM,"Durham, New Hampshire",3 Depot Road,University of New Hampshire campus,Durham,NH,03824-1909,RAIL,33
-79.371757999332146,34.418284999353261,75,DIL,"Dillon, South Carolina",100 North Railroad Avenue,,Dillon,SC,29536,RAIL,45
-80.092528999813453,26.45517900081029,76,DLB,"Delray Beach, Florida",345 South Congress Ave,,Delray Beach,FL,33444,RAIL,12
-81.352454999998201,29.016833999889229,77,DLD,"Deland, Florida",2491 Old New York Ave,,Deland,FL,32720-2808,RAIL,12
-95.845581000262939,46.819488999517773,78,DLK,"Detroit Lakes, Minnesota",116 Pioneer Street,,Detroit Lakes,MN,56501,RAIL,27
-78.907227000125943,35.997036000111393,79,DNC,"Durham, North Carolina",400 W. Chapel Hill Street,,Durham,NC,27701,RAIL,37
-81.143150000272271,33.32614499979195,80,DNK,"Denmark, South Carolina",200 West Baruch Street,,Denmark,SC,29042,RAIL,45
-86.108734000373772,41.981201000725662,81,DOA,"Dowagiac, Michigan",200 Depot Drive,,Dowagiac,MI,49047-1779,RAIL,26
-70.876647999905231,43.19865600017431,82,DOV,"Dover, New Hampshire",33 Chestnut St.,,Dover,NH,03820-3327,RAIL,33
